编号,表面位移_mm,原始速度_mm_h,Hampel瞬时跳变标记,清洗后速度_mm_h,6h平滑速度_mm_h
1,0.059,0.18000000000000016,False,0.18000000000000016,0.18000000000000016
2,0.069,0.06000000000000005,False,0.06000000000000005,0.18000000000000016
3,0.284,1.2899999999999998,False,1.2899999999999998,0.18000000000000016
4,0.296,0.07200000000000006,False,0.07200000000000006,0.18000000000000016
5,0.332,0.2160000000000002,False,0.2160000000000002,0.18000000000000016
6,0.366,0.20399999999999985,False,0.20399999999999985,0.18000000000000016
7,0.181,-1.1099999999999999,False,-1.1099999999999999,0.18000000000000016
8,0.332,0.9060000000000001,False,0.9060000000000001,0.18000000000000016
9,0.334,0.01200000000000001,False,0.01200000000000001,0.18000000000000016
10,0.395,0.366,False,0.366,0.18000000000000016
11,0.405,0.06000000000000005,False,0.06000000000000005,0.18000000000000016
12,0.209,-1.1760000000000002,False,-1.1760000000000002,0.18000000000000016
13,0.244,0.21000000000000002,False,0.21000000000000002,0.18000000000000016
14,0.274,0.18000000000000016,False,0.18000000000000016,0.18000000000000016
15,0.174,-0.6000000000000002,False,-0.6000000000000002,0.18000000000000016
16,0.371,1.182,False,1.182,0.18000000000000016
17,0.242,-0.774,False,-0.774,0.18000000000000016
18,0.383,0.8460000000000001,False,0.8460000000000001,0.18000000000000016
19,0.42,0.22199999999999986,False,0.22199999999999986,0.18000000000000016
20,0.244,-1.056,False,-1.056,0.18000000000000016
21,0.101,-0.8579999999999999,False,-0.8579999999999999,0.18000000000000016
22,0.276,1.05,False,1.05,0.18000000000000016
23,0.416,0.8399999999999997,False,0.8399999999999997,0.18000000000000016
24,0.417,0.006000000000000005,False,0.006000000000000005,0.18000000000000016
25,0.276,-0.8459999999999998,False,-0.8459999999999998,0.18000000000000016
26,0.301,0.1499999999999998,False,0.1499999999999998,0.16499999999999998
27,0.276,-0.1499999999999998,False,-0.1499999999999998,0.1499999999999998
28,0.233,-0.25800000000000006,False,-0.25800000000000006,0.11099999999999993
29,0.123,-0.6600000000000001,False,-0.6600000000000001,0.07200000000000006
30,0.35,1.3619999999999999,False,1.3619999999999999,0.11099999999999993
31,0.252,-0.5879999999999999,False,-0.5879999999999999,0.07200000000000006
32,0.325,0.43800000000000006,False,0.43800000000000006,0.11099999999999993
33,0.375,0.29999999999999993,False,0.29999999999999993,0.1499999999999998
34,3.928,21.317999999999998,True,0.06000000000000005,0.11099999999999993
35,0.244,-22.104,True,0.06000000000000005,0.07200000000000006
36,0.218,-0.15599999999999997,False,-0.15599999999999997,0.06600000000000006
37,0.378,0.96,False,0.96,0.06600000000000006
38,0.388,0.06000000000000005,False,0.06000000000000005,0.06600000000000006
39,0.267,-0.726,False,-0.726,0.06000000000000005
40,0.425,0.9479999999999998,False,0.9479999999999998,0.06000000000000005
41,0.325,-0.5999999999999999,False,-0.5999999999999999,0.06000000000000005
42,1.168,5.058,False,5.058,0.06000000000000005
43,0.236,-5.592,False,-5.592,0.06000000000000005
44,0.386,0.9000000000000001,False,0.9000000000000001,0.06000000000000005
45,0.362,-0.14400000000000013,False,-0.14400000000000013,0.06000000000000005
46,0.38,0.1080000000000001,False,0.1080000000000001,0.06000000000000005
47,0.235,-0.8700000000000001,False,-0.8700000000000001,0.06000000000000005
48,0.126,-0.6539999999999999,False,-0.6539999999999999,0.06000000000000005
49,0.413,1.722,False,1.722,0.06000000000000005
50,0.474,0.366,False,0.366,0.06000000000000005
51,0.195,-1.674,False,-1.674,0.06000000000000005
52,0.317,0.732,False,0.732,0.06000000000000005
53,0.627,1.8599999999999999,False,1.8599999999999999,0.06000000000000005
54,0.423,-1.2240000000000002,False,-1.2240000000000002,0.06000000000000005
55,0.502,0.4740000000000001,False,0.4740000000000001,0.06000000000000005
56,0.537,0.2100000000000002,False,0.2100000000000002,0.06000000000000005
57,0.328,-1.254,False,-1.254,0.06000000000000005
58,0.615,1.722,False,1.722,0.06000000000000005
59,0.211,-2.4240000000000004,False,-2.4240000000000004,0.06000000000000005
60,0.438,1.362,False,1.362,0.06000000000000005
61,0.424,-0.08400000000000007,False,-0.08400000000000007,0.06000000000000005
62,0.283,-0.8460000000000001,False,-0.8460000000000001,0.06000000000000005
63,0.323,0.2400000000000002,False,0.2400000000000002,0.06000000000000005
64,0.339,0.09600000000000009,False,0.09600000000000009,0.07800000000000007
65,0.26,-0.4740000000000001,False,-0.4740000000000001,0.07800000000000007
66,0.265,0.030000000000000027,False,0.030000000000000027,0.06000000000000005
67,0.38,0.69,False,0.69,0.07800000000000007
68,0.366,-0.08400000000000007,False,-0.08400000000000007,0.06000000000000005
69,0.353,-0.07800000000000007,False,-0.07800000000000007,0.06000000000000005
70,0.504,0.9060000000000001,False,0.9060000000000001,0.06000000000000005
71,0.349,-0.9300000000000002,False,-0.9300000000000002,0.04500000000000004
72,0.454,0.6300000000000002,False,0.6300000000000002,0.07800000000000007
73,0.431,-0.13800000000000012,False,-0.13800000000000012,0.04500000000000004
74,0.402,-0.17399999999999982,False,-0.17399999999999982,-0.02400000000000002
75,1.102,4.2,False,4.2,0.06300000000000006
76,0.424,-4.068000000000001,False,-4.068000000000001,-0.02400000000000002
77,0.379,-0.2699999999999999,False,-0.2699999999999999,-0.02400000000000002
78,0.54,0.9660000000000002,False,0.9660000000000002,-0.02400000000000002
79,0.513,-0.16200000000000014,False,-0.16200000000000014,-0.02400000000000002
80,0.394,-0.714,False,-0.714,-0.08100000000000007
81,0.365,-0.17400000000000015,False,-0.17400000000000015,-0.08100000000000007
82,0.366,0.006000000000000005,False,0.006000000000000005,-0.08100000000000007
83,0.434,0.40800000000000003,False,0.40800000000000003,-0.03600000000000003
84,0.567,0.7979999999999997,False,0.7979999999999997,0.018000000000000016
85,0.584,0.10200000000000009,False,0.10200000000000009,0.018000000000000016
86,0.204,-2.2800000000000002,False,-2.2800000000000002,-0.03600000000000003
87,0.624,2.5200000000000005,False,2.5200000000000005,0.018000000000000016
88,0.464,-0.9599999999999999,False,-0.9599999999999999,-0.03600000000000003
89,0.343,-0.726,False,-0.726,-0.08100000000000007
90,0.479,0.8159999999999997,False,0.8159999999999997,-0.03600000000000003
91,0.406,-0.4379999999999997,False,-0.4379999999999997,-0.08100000000000007
92,0.658,1.512,False,1.512,-0.08100000000000007
93,0.439,-1.314,False,-1.314,-0.08100000000000007
94,0.404,-0.20999999999999985,False,-0.20999999999999985,-0.08400000000000007
